これから折々お宅へ伺っても宜ござんすか	ええいらっしゃい
恋は罪悪ですか	罪悪です。たしかに
なぜですか	なぜだか今に解ります。今にじゃない、もう解っているはずです。あなたの心はとっくの昔からすでに恋で動いているじゃありませんか
私の胸の中にこれという目的物は一つもありません。私は先生に何も隠してはいないつもりです	目的物がないから動くのです。あれば落ち付けるだろうと思って動きたくなるのです
今それほど動いちゃいません	あなたは物足りない結果私の所に動いて来たじゃありませんか
それはそうかも知れません。しかしそれは恋とは違います	恋に上る楷段なんです。異性と抱き合う順序として、まず同性の私の所へ動いて来たのです
私には二つのものが全く性質を異にしているように思われます	いや同じです。私は男としてどうしてもあなたに満足を与えられない人間なのです。それから、ある特別の事情があって、なおさらあなたに満足を与えられないでいるのです。私は実際お気の毒に思っています。あなたが私からよそへ動いて行くのは仕方がない。私はむしろそれを希望しているのです。しかし……
先生、罪悪という意味をもっと判然いって聞かして下さい。それでなければこの問題をここで切り上げて下さい。私自身に罪悪という意味が判然解るまで	悪い事をした。私はあなたに真実を話している気でいた。ところが実際は、あなたを焦慮していたのだ。私は悪い事をした
あんまり逆上ちゃいけません	覚めた結果としてそう思うんです
あなたは熱に浮かされているのです。熱がさめると厭になります。私は今のあなたからそれほどに思われるのを、苦しく感じています。しかしこれから先のあなたに起るべき変化を予想して見ると、なお苦しくなります	私はそれほど軽薄に思われているんですか。それほど不信用なんですか
私はお気の毒に思うのです	気の毒だが信用されないとおっしゃるんですか
私は私自身さえ信用していないのです。つまり自分で自分が信用できないから、人も信用できないようになっているのです。自分を呪うより外に仕方がないのです	そうむずかしく考えれば、誰だって確かなものはないでしょう
何だい	ちょっと
とにかくあまり私を信用してはいけませんよ。今に後悔するから。そうして自分が欺かれた返報に、残酷な復讐をするようになるものだから	そりゃどういう意味ですか
それじゃ窮屈でしょう	いえ、窮屈じゃありません
でも退屈でしょう	いいえ。泥棒が来るかと思って緊張しているから退屈でもありません
ここは隅っこだから番をするには好くありませんね	じゃ失礼ですがもっと真中へ出て来て頂戴。ご退屈だろうと思って、お茶を入れて持って来たんですが、茶の間で宜しければあちらで上げますから
先生はやっぱり時々こんな会へお出掛けになるんですか	いいえ滅多に出た事はありません。近頃は段々人の顔を見るのが嫌いになるようです
それじゃ奥さんだけが例外なんですか	いいえ私も嫌われている一人なんです
そりゃ嘘です	奥さん自身嘘と知りながらそうおっしゃるんでしょう
なぜ	私にいわせると、奥さんが好きになったから世間が嫌いになるんですもの
あなたは学問をする方だけあって、なかなかお上手ね。空っぽな理屈を使いこなす事が。世の中が嫌いになったから、私までも嫌いになったんだともいわれるじゃありませんか。それと同なじ理屈で	両方ともいわれる事はいわれますが、この場合は私の方が正しいのです
あなた大変黙り込んじまったのね	何かいうとまた議論を仕掛けるなんて、叱り付けられそうですから
奥さん、先刻の続きをもう少しいわせて下さいませんか。奥さんには空な理屈と聞こえるかも知れませんが、私はそんな上の空でいってる事じゃないんだから	じゃおっしゃい
今奥さんが急にいなくなったとしたら、先生は現在の通りで生きていられるでしょうか	そりゃ分らないわ、あなた。そんな事、先生に聞いて見るより外に仕方がないじゃありませんか。私の所へ持って来る問題じゃないわ
奥さん、私は真面目ですよ。だから逃げちゃいけません。正直に答えなくっちゃ	正直よ。正直にいって私には分らないのよ
じゃ奥さんは先生をどのくらい愛していらっしゃるんですか。これは先生に聞くよりむしろ奥さんに伺っていい質問ですから、あなたに伺います	何もそんな事を開き直って聞かなくっても好いじゃありませんか
真面目くさって聞くがものはない。分り切ってるとおっしゃるんですか	まあそうよ
そのくらい先生に忠実なあなたが急にいなくなったら、先生はどうなるんでしょう。世の中のどっちを向いても面白そうでない先生は、あなたが急にいなくなったら後でどうなるでしょう。先生から見てじゃない。あなたから見てですよ。あなたから見て、先生は幸福になるでしょうか、不幸になるでしょうか	そりゃ私から見れば分っています。（先生はそう思っていないかも知れませんが）。先生は私を離れれば不幸になるだけです。あるいは生きていられないかも知れませんよ。そういうと、己惚になるようですが、私は今先生を人間としてできるだけ幸福にしているんだと信じていますわ。どんな人があっても私ほど先生を幸福にできるものはないとまで思い込んでいますわ。それだからこうして落ち付いていられるんです
その信念が先生の心に好く映るはずだと私は思いますが	それは別問題ですわ
やっぱり先生から嫌われているとおっしゃるんですか	私は嫌われてるとは思いません。嫌われる訳がないんですもの。しかし先生は世間が嫌いなんでしょう。世間というより近頃では人間が嫌いになっているんでしょう。だからその人間の一人として、私も好かれるはずがないじゃありませんか
奥さん、私がこの前なぜ先生が世間的にもっと活動なさらないのだろうといって、あなたに聞いた時に、あなたはおっしゃった事がありますね。元はああじゃなかったんだって	ええいいました。実際あんなじゃなかったんですもの
どんなだったんですか	あなたの希望なさるような、また私の希望するような頼もしい人だったんです
それがどうして急に変化なすったんですか	急にじゃありません、段々ああなって来たのよ
奥さんはその間始終先生といっしょにいらしったんでしょう	無論いましたわ。夫婦ですもの
じゃ先生がそう変って行かれる源因がちゃんと解るべきはずですがね	それだから困るのよ。あなたからそういわれると実に辛いんですが、私にはどう考えても、考えようがないんですもの。私は今まで何遍あの人に、どうぞ打ち明けて下さいって頼んで見たか分りゃしません
先生は何とおっしゃるんですか	何にもいう事はない、何にも心配する事はない、おれはこういう性質になったんだからというだけで、取り合ってくれないんです
あなたは私に責任があるんだと思ってやしませんか	いいえ
どうぞ隠さずにいって下さい。そう思われるのは身を切られるより辛いんだから	これでも私は先生のためにできるだけの事はしているつもりなんです
あなたどう思って？	私からああなったのか、それともあなたのいう人世観とか何とかいうものから、ああなったのか。隠さずいって頂戴
実は私すこし思いあたる事があるんですけれども……	先生がああいう風になった源因についてですか
ええ。もしそれが源因だとすれば、私の責任だけはなくなるんだから、それだけでも私大変楽になれるんですが、……	どんな事ですか
あなた判断して下すって。いうから	私にできる判断ならやります
実は変死したんです	どうして
それっ切りしかいえないのよ。けれどもその事があってから後なんです。先生の性質が段々変って来たのは。なぜその方が死んだのか、私には解らないの。先生にもおそらく解っていないでしょう。けれどもそれから先生が変って来たと思えば、そう思われない事もないのよ	その人の墓ですか、雑司ヶ谷にあるのは
どうもご苦労さま、泥棒は来ませんでしたか	来ないんで張合が抜けやしませんか
私は風邪ぐらいなら我慢しますが、それ以上の病気は真平です。先生だって同じ事でしょう。試みにやってご覧になるとよく解ります	そうかね。私は病気になるくらいなら、死病に罹りたいと思ってる
そりゃご心配ですね	何遍も卒倒したんですか
手紙には何とも書いてありませんが。――そんなに何度も引ッ繰り返るものですか	ええ
どうせむずかしいんでしょう	そうさね。私が代られれば代ってあげても好いが。――嘔気はあるんですか
どうですか、何とも書いてないから、大方ないんでしょう	吐気さえ来なければまだ大丈夫ですよ
こんど東京へ行くときには椎茸でも持って行ってお上げ	ええ、しかし先生が干した椎茸なぞを食うかしら
もう帰るのかい、まだ早いじゃないか	まだ四、五日いても間に合うんだろう
私の父もそんなになるでしょうか。ならんともいえないですね	医者は何というのです
医者は到底治らないというんです。けれども当分のところ心配はあるまいともいうんです	それじゃ好いでしょう。医者がそういうなら。私の今話したのは気が付かずにいた人の事で、しかもそれがずいぶん乱暴な軍人なんだから
しかし人間は健康にしろ病気にしろ、どっちにしても脆いものですね。いつどんな事でどんな死にようをしないとも限らないから	先生もそんな事を考えてお出ですか
よくころりと死ぬ人があるじゃありませんか。自然に。それからあっと思う間に死ぬ人もあるでしょう。不自然な暴力で	不自然な暴力って何ですか
何だかそれは私にも解らないが、自殺する人はみんな不自然な暴力を使うんでしょう	すると殺されるのも、やはり不自然な暴力のお蔭ですね
先生はなぜ元のように書物に興味をもち得ないんですか	なぜという訳もありませんが。……つまりいくら本を読んでもそれほどえらくならないと思うせいでしょう。それから……
それから、まだあるんですか	まだあるというほどの理由でもないが、以前はね、人の前へ出たり、人に聞かれたりして知らないと恥のようにきまりが悪かったものだが、近頃は知らないという事が、それほどの恥でないように見え出したものだから、つい無理にも本を読んでみようという元気が出なくなったのでしょう。まあ早くいえば老い込んだのです
もう論文は片付いたんですか、結構ですね	お蔭でようやく済みました。もう何にもする事はありません
なるほど	そうですか
先生どこかへ散歩しましょう。外へ出ると大変好い心持です	どこへ
はいってみようか	植木屋ですね
静かだね。断わらずにはいっても構わないだろうか	構わないでしょう
先生帽子が落ちました	ありがとう
突然だが、君の家には財産がよっぽどあるんですか	あるというほどありゃしません
まあどのくらいあるのかね。失礼のようだが	どのくらいって、山と田地が少しあるぎりで、金なんかまるでないんでしょう
先生はどうなんです。どのくらいの財産をもっていらっしゃるんですか	私は財産家と見えますか
そうでしょう	そりゃそのくらいの金はあるさ、けれども決して財産家じゃありません。財産家ならもっと大きな家でも造るさ
何ともいって来ませんが、もう好いんでしょう	好ければ結構だが、――病症が病症なんだからね
やっぱり駄目ですかね。でも当分は持ち合ってるんでしょう。何ともいって来ませんよ	そうですか
君のうちに財産があるなら、今のうちによく始末をつけてもらっておかないといけないと思うがね、余計なお世話だけれども。君のお父さんが達者なうちに、貰うものはちゃんと貰っておくようにしたらどうですか。万一の事があったあとで、一番面倒の起るのは財産の問題だから	ええ
そんな事をちっとも気に掛けちゃいません	君の兄弟は何人でしたかね
みんな善い人ですか	別に悪い人間というほどのものもいないようです。大抵田舎者ですから
叔父さん、はいって来る時、家に誰もいなかったかい	誰もいなかったよ
姉さんやおっかさんが勝手の方にいたのに	そうか、いたのかい
ありがとう。脂がこびり着いてやしませんか	綺麗に落ちました
どうもお邪魔をしました	いいえお構い申しも致しませんで
さきほど先生のいわれた、人間は誰でもいざという間際に悪人になるんだという意味ですね。あれはどういう意味ですか	意味といって、深い意味もありません。――つまり事実なんですよ。理屈じゃないんだ
おいおい	そら見たまえ
何をですか	君の気分だって、私の返事一つですぐ変るじゃないか
先生	何ですか
私は先刻そんなに昂奮したように見えたんですか	そんなにというほどでもありませんが、少し……
頭が鈍くて要領を得ないのは構いませんが、ちゃんと解ってるくせに、はっきりいってくれないのは困ります	私は何にも隠してやしません
隠していらっしゃいます	あなたは私の思想とか意見とかいうものと、私の過去とを、ごちゃごちゃに考えているんじゃありませんか。私は貧弱な思想家ですけれども、自分の頭で纏め上げた考えをむやみに人に隠しやしません。隠す必要がないんだから。けれども私の過去を悉くあなたの前に物語らなくてはならないとなると、それはまた別問題になります
あなたは大胆だ	ただ真面目なんです。真面目に人生から教訓を受けたいのです
あなたは本当に真面目なんですか	私は過去の因果で、人を疑りつけている。だから実はあなたも疑っている。しかしどうもあなただけは疑りたくない。あなたは疑るにはあまりに単純すぎるようだ。私は死ぬ前にたった一人で好いから、他を信用して死にたいと思っている。あなたはそのたった一人になれますか。なってくれますか。あなたははらの底から真面目ですか
もし私の命が真面目なものなら、私の今いった事も真面目です	よろしい
先生は癇性ですね	でも着物などは、それほど気にしないようですよ
先生の卒業証書はどうしました	どうしたかね。――まだどこかにしまってあったかね
もうおしまい。あなた近頃大変小食になったのね	小食になったんじゃありません。暑いんで食われないんです
本当いうと、まだ何をする考えもないんです。実は職業というものについて、全く考えた事がないくらいなんですから。だいちどれが善いか、どれが悪いか、自分がやって見た上でないと解らないんだから、選択に困る訳だと思います	それもそうね。けれどもあなたは必竟財産があるからそんな呑気な事をいっていられるのよ。これが困る人でご覧なさい。なかなかあなたのように落ち付いちゃいられないから
少し先生にかぶれたんでしょう	碌なかぶれ方をして下さらないのね
奥さん、お宅の財産はよッぽどあるんですか	何だってそんな事をお聞きになるの
教えて上げるほどないからでしょう	でもどのくらいあったら先生のようにしていられるか、宅へ帰って一つ父に談判する時の参考にしますから聞かして下さい
どのくらいってほどありゃしませんわ。まあこうしてどうかこうか暮してゆかれるだけよ、あなた。――そりゃどうでも宜いとして、あなたはこれから何か為さらなくっちゃ本当にいけませんよ。先生のようにごろごろばかりしていちゃ……	ごろごろばかりしていやしないさ
また当分お目にかかれませんから	九月には出ていらっしゃるんでしょうね
まあ九月頃になるでしょう	じゃずいぶんご機嫌よう。私たちもこの夏はことによるとどこかへ行くかも知れないのよ。ずいぶん暑そうだから。行ったらまた絵端書でも送って上げましょう
本当に大事にしてお上げなさいよ	毒が脳へ廻るようになると、もうそれっきりよ、あなた。笑い事じゃないわ
どうせ助からない病気だそうですから、いくら心配したって仕方がありません	そう思い切りよく考えれば、それまでですけれども
静、お前はおれより先へ死ぬだろうかね	なぜ
なぜでもない、ただ聞いてみるのさ。それとも己の方がお前より前に片付くかな。大抵世間じゃ旦那が先で、細君が後へ残るのが当り前のようになってるね	そう極った訳でもないわ。けれども男の方はどうしても、そら年が上でしょう
だから先へ死ぬという理屈なのかね。すると己もお前より先にあの世へ行かなくっちゃならない事になるね	あなたは特別よ
そうかね	だって丈夫なんですもの。ほとんど煩った例がないじゃありませんか。そりゃどうしたって私の方が先だわ
先かな	え、きっと先よ
しかしもしおれの方が先へ行くとするね。そうしたらお前どうする	どうするって……
寿命は分りませんね。私にも	こればかりは本当に寿命ですからね。生れた時にちゃんと極った年数をもらって来るんだから仕方がないわ。先生のお父さんやお母さんなんか、ほとんど同じよ、あなた、亡くなったのが
亡くなられた日がですか	まさか日まで同じじゃないけれども。でもまあ同じよ。だって続いて亡くなっちまったんですもの
静、おれが死んだらこの家をお前にやろう	ついでに地面も下さいよ
地面は他のものだから仕方がない。その代りおれの持ってるものは皆なお前にやるよ	どうも有難う。けれども横文字の本なんか貰っても仕様がないわね
古本屋に売るさ	売ればいくらぐらいになって
ご病人をお大事に	また九月に
こんなものは巻いたなり手に持って来るものだ	中に心でも入れると好かったのに
お父さんはあんなに元気そうに庭へ出たり何かしているが、あれでいいんですか	もう何ともないようだよ。大方好くおなりなんだろう
でも医者はあの時到底むずかしいって宣告したじゃありませんか	だから人間の身体ほど不思議なものはないと思うんだよ。あれほどお医者が手重くいったものが、今までしゃんしゃんしているんだからね。お母さんも始めのうちは心配して、なるべく動かさないようにと思ってたんだがね。それ、あの気性だろう。養生はしなさるけれども、強情でねえ。自分が好いと思い込んだら、なかなか私のいう事なんか、聞きそうにもなさらないんだからね
もっともだ。お前のいう通りだ。けれども、己の身体は必竟己の身体で、その己の身体についての養生法は、多年の経験上、己が一番能く心得ているはずだからね	それご覧な
でも、あれでお父さんは自分でちゃんと覚悟だけはしているんですよ。今度私が卒業して帰ったのを大変喜んでいるのも、全くそのためなんです。生きてるうちに卒業はできまいと思ったのが、達者なうちに免状を持って来たから、それが嬉しいんだって、お父さんは自分でそういっていましたぜ	そりゃ、お前、口でこそそうおいいだけれどもね。お腹のなかではまだ大丈夫だと思ってお出のだよ
そうでしょうか	まだまだ十年も二十年も生きる気でお出のだよ。もっとも時々はわたしにも心細いような事をおいいだがね。おれもこの分じゃもう長い事もあるまいよ、おれが死んだら、お前はどうする、一人でこの家にいる気かなんて
東京と違って田舎は蒼蠅いからね	お父さんの顔もあるんだから
つまり私のためなら、止して下さいというだけなんです。陰で何かいわれるのが厭だからというご主意なら、そりゃまた別です。あなたがたに不利益な事を私が強いて主張したって仕方がありません	そう理屈をいわれると困る
ああ、ああ	ああ、ああ、天子様もとうとうおかくれになる。己も……
相当の口って、近頃じゃそんな旨い口はなかなかあるものじゃありません。ことに兄さんと私とは専門も違うし、時代も違うんだから、二人を同じように考えられちゃ少し困ります	しかし卒業した以上は、少なくとも独立してやって行ってくれなくっちゃこっちも困る。人からあなたの所のご二男は、大学を卒業なすって何をしてお出ですかと聞かれた時に返事ができないようじゃ、おれも肩身が狭いから
その先生は何をしているのかい	何にもしていないんです
お前のいうような偉い方なら、きっと何か口を探して下さるよ。頼んでご覧なのかい	いいえ
じゃ仕方がないじゃないか。なぜ頼まないんだい。手紙でも好いからお出しな	ええ
しかし手紙じゃ用は足りませんよ。どうせ、九月にでもなって、私が東京へ出てからでなくっちゃ	そりゃそうかも知れないけれども、またひょっとして、どんな好い口がないとも限らないんだから、早く頼んでおくに越した事はないよ
お母さんに日を見てもらいなさい	そうしましょう
もう少し様子を見てからにしましょうか	そうしておくれ
お前は今日東京へ行くはずじゃなかったか	ええ、少し延ばしました
今に癒ったらもう一返東京へ遊びに行ってみよう。人間はいつ死ぬか分らないからな。何でもやりたい事は、生きてるうちにやっておくに限る	その時は私もいっしょに伴れて行って頂きましょう
おれが死んだら、どうかお母さんを大事にしてやってくれ	おれが死んだら
お父さんは？	今よく寝てお出だよ
手紙を書くのは訳はないですが、こういう事は郵便じゃとても埒は明きませんよ。どうしても自分で東京へ出て、じかに頼んで廻らなくっちゃ	だってお父さんがあの様子じゃ、お前、いつ東京へ出られるか分らないじゃないか
だから出やしません。癒るとも癒らないとも片付かないうちは、ちゃんとこうしているつもりです	そりゃ解り切った話だね。今にもむずかしいという大病人を放ちらかしておいて、誰が勝手に東京へなんか行けるものかね
実はね	実はお父さんの生きてお出のうちに、お前の口が極ったらさぞ安心なさるだろうと思うんだがね。この様子じゃ、とても間に合わないかも知れないけれども、それにしても、まだああやって口も慥かなら気も慥かなんだから、ああしてお出のうちに喜ばして上げるように親孝行をおしな
新聞なんか読ましちゃいけなかないか	私もそう思うんだけれども、読まないと承知しないんだから、仕様がない
身体が身体だからむやみに汽車になんぞ乗って揺れない方が好い。無理をして見舞に来られたりすると、かえってこっちが心配だから	なに今に治ったら赤ん坊の顔でも見に、久しぶりにこっちから出掛けるから差支えない
あの時はいよいよ頭が変になったのかと思って、ひやりとした	私も実は驚きました
作さんよく来てくれた。作さんは丈夫で羨ましいね。己はもう駄目だ	そんな事はないよ。お前なんか子供は二人とも大学を卒業するし、少しぐらい病気になったって、申し分はないんだ。おれをご覧よ。かかあには死なれるしさ、子供はなしさ。ただこうして生きているだけの事だよ。達者だって何の楽しみもないじゃないか
そりゃ結構です	何の口だかまだ分らないのか
しかしそんな忙しい身体でもないんだから、ああして泊っていてくれるんでしょう。関さんよりも兄さんの方が困るでしょう、こう長くなっちゃ	困っても仕方がない。外の事と違うからな
一体家の財産はどうなってるんだろう	おれは知らない。お父さんはまだ何ともいわないから。しかし財産っていったところで金としては高の知れたものだろう
まだ手紙は来ないかい	先生先生というのは一体誰の事だい
本を読むだけなら、田舎でも充分できるし、それに働く必要もなくなるし、ちょうど好いだろう	兄さんが帰って来るのが順ですね
お前がいやなら、まあ伯父さんにでも世話を頼むんだが、それにしてもお母さんはどっちかで引き取らなくっちゃなるまい	お母さんがここを動くか動かないかがすでに大きな疑問ですよ
今のうち何か聞いておく必要はないかな	そうだなあ
頭を冷やすと好い心持ですか	うん
どこへ行く	どうも様子が少し変だからなるべく傍にいるようにしなくっちゃいけないよ
どうですか様子は	今少し持ち合ってるようだよ
どうです、浣腸して少しは心持が好くなりましたか	有難う
私に	私は
出せなかった	出せなかったの
馬鹿だ	僕は馬鹿だ
下さい、ぜひ下さい	私の妻としてぜひ下さい
上げてもいいが、あんまり急じゃありませんか	急に貰いたいのだ
宜ござんす、差し上げましょう	差し上げるなんて威張った口の利ける境遇ではありません。どうぞ貰って下さい。ご存じの通り父親のない憐れな子です
結婚はいつですか	何かお祝いを上げたいが、私は金がないから上げる事ができません
後始末は	後始未は
あなたは私を嫌っていらっしゃるんでしょう	何でも私に隠していらっしゃる事があるに違いない
そう初めから上手にはかけないさ、第一室内の想像ばかりで画がかける訳のものではない。昔し以太利の大家アンドレア・デル・サルトが言った事がある。画をかくなら何でも自然その物を写せ。天に星辰あり。地に露華あり。飛ぶに禽あり。走るに獣あり。池に金魚あり。枯木に寒鴉あり。自然はこれ一幅の大活画なりと。どうだ君も画らしい画をかこうと思うならちと写生をしたら	へえアンドレア・デル・サルトがそんな事をいった事があるかい。ちっとも知らなかった。なるほどこりゃもっともだ。実にその通りだ
何、猫だ？　猫が聞いてあきれらあ。全てえどこに住んでるんだ	吾輩はここの教師の家にいるのだ
そう云う君は一体誰だい	己れあ車屋の黒よ
一体車屋と教師とはどっちがえらいだろう	車屋の方が強いに極っていらあな。御めえのうちの主人を見ねえ、まるで骨と皮ばかりだぜ
君も車屋の猫だけに大分強そうだ。車屋にいると御馳走が食えると見えるね	何におれなんざ、どこの国へ行ったって食い物に不自由はしねえつもりだ。御めえなんかも茶畠ばかりぐるぐる廻っていねえで、ちっと己の後へくっ付いて来て見ねえ。一と月とたたねえうちに見違えるように太れるぜ
追ってそう願う事にしよう。しかし家は教師の方が車屋より大きいのに住んでいるように思われる	箆棒め、うちなんかいくら大きくたって腹の足しになるもんか
鼠の百や二百は一人でいつでも引き受けるがいたちってえ奴は手に合わねえ。一度いたちに向って酷い目に逢った	へえなるほど
去年の大掃除の時だ。うちの亭主が石灰の袋を持って椽の下へ這い込んだら御めえ大きないたちの野郎が面喰って飛び出したと思いねえ	ふん
いたちってけども何鼠の少し大きいぐれえのものだ。こん畜生って気で追っかけてとうとう泥溝の中へ追い込んだと思いねえ	うまくやったね
画はどうかね	君の忠告に従って写生を力めているが、なるほど写生をすると今まで気のつかなかった物の形や、色の精細な変化などがよく分るようだ。西洋では昔しから写生を主張した結果今日のように発達したものと思われる。さすがアンドレア・デル・サルトだ
実は君、あれは出鱈目だよ	何が
しかし冗談は冗談だが画というものは実際むずかしいものだよ、レオナルド・ダ・ヴィンチは門下生に寺院の壁のしみを写せと教えた事があるそうだ。なるほど雪隠などに這入って雨の漏る壁を余念なく眺めていると、なかなかうまい模様画が自然に出来ているぜ。君注意して写生して見給えきっと面白いものが出来るから	また欺すのだろう
いえこれだけはたしかだよ。実際奇警な語じゃないか、ダ・ヴィンチでもいいそうな事だあね	なるほど奇警には相違ないな
君歯をどうかしたかね	ええ実はある所で椎茸を食いましてね
何を食ったって？	その、少し椎茸を食ったんで。椎茸の傘を前歯で噛み切ろうとしたらぼろりと歯が欠けましたよ
椎茸で前歯がかけるなんざ、何だか爺々臭いね。俳句にはなるかも知れないが、恋にはならんようだな	ああその猫が例のですか、なかなか肥ってるじゃありませんか、それなら車屋の黒にだって負けそうもありませんね、立派なものだ
一昨夜もちょいと合奏会をやりましてね	どこで
どこでもそりゃ御聞きにならんでもよいでしょう。ヴァイオリンが三挺とピヤノの伴奏でなかなか面白かったです。ヴァイオリンも三挺くらいになると下手でも聞かれるものですね。二人は女で私がその中へまじりましたが、自分でも善く弾けたと思いました	ふん、そしてその女というのは何者かね
なに二人とも去る所の令嬢ですよ、御存じの方じゃありません	ナール
それは利かないから飲まん	でもあなた澱粉質のものには大変功能があるそうですから、召し上ったらいいでしょう
澱粉だろうが何だろうが駄目だよ	あなたはほんとに厭きっぽい
厭きっぽいのじゃない薬が利かんのだ	それだってせんだってじゅうは大変によく利くよく利くとおっしゃって毎日毎日上ったじゃありませんか
こないだうちは利いたのだよ、この頃は利かないのだよ	そんなに飲んだり止めたりしちゃ、いくら功能のある薬でも利く気遣いはありません、もう少し辛防がよくなくっちゃあ胃弱なんぞはほかの病気たあ違って直らないわねえ
それは本当のところでございます。もう少し召し上ってご覧にならないと、とても善い薬か悪い薬かわかりますまい	何でもいい、飲まんのだから飲まんのだ、女なんかに何がわかるものか、黙っていろ
あらまあ	いやな猫ねえ
三毛子さん三毛子さん	あら先生
やあおめでとう、大層立派に御化粧が出来ましたね	ええ去年の暮御師匠さんに買って頂いたの、宜いでしょう
なるほど善い音ですな、吾輩などは生れてから、そんな立派なものは見た事がないですよ	あらいやだ、みんなぶら下げるのよ
一体あなたの所の御主人は何ですか	あら御主人だって、妙なのね。御師匠さんだわ。二絃琴の御師匠さんよ
それは吾輩も知っていますがね。その御身分は何なんです。いずれ昔しは立派な方なんでしょうな	ええ
宜い声でしょう	宜いようだが、吾輩にはよくわからん。全体何というものですか
あれでも、もとは身分が大変好かったんだって。いつでもそうおっしゃるの	へえ元は何だったんです
何でも天璋院様の御祐筆の妹の御嫁に行った先きの御っかさんの甥の娘なんだって	何ですって？
あの天璋院様の御祐筆の妹の御嫁にいった……	なるほど。少し待って下さい。天璋院様の妹の御祐筆の……
あらそうじゃないの、天璋院様の御祐筆の妹の……	よろしい分りました天璋院様のでしょう
ええ	御祐筆のでしょう
そうよ	御嫁に行った
妹の御嫁に行ったですよ	そうそう間違った。妹の御嫁に入った先きの
御っかさんの甥の娘なんですとさ	御っかさんの甥の娘なんですか
ええ。分ったでしょう	いいえ。何だか混雑して要領を得ないですよ。詰るところ天璋院様の何になるんですか
あなたもよっぽど分らないのね。だから天璋院様の御祐筆の妹の御嫁に行った先きの御っかさんの甥の娘なんだって、先っきっから言ってるんじゃありませんか	それはすっかり分っているんですがね
それが分りさえすればいいんでしょう	ええ
